Tue Dec 04 2018 18:24:25 GMT+0800 (Taipei Standard Time) ===================================================================
Tue Dec 04 2018 18:24:25 GMT+0800 (Taipei Standard Time) starting lt_video.js
Tue Dec 04 2018 18:24:25 GMT+0800 (Taipei Standard Time) http://micro-bob.codeplay.me
Tue Dec 04 2018 19:17:54 GMT+0800 (Taipei Standard Time) ===================================================================
Tue Dec 04 2018 19:17:54 GMT+0800 (Taipei Standard Time) starting lt_video.js
Tue Dec 04 2018 19:17:54 GMT+0800 (Taipei Standard Time) http://micro-bob.codeplay.me
Tue Dec 04 2018 19:18:33 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:19:19 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:20:03 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:20:48 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:21:33 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:22:18 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:23:03 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:23:48 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:24:33 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:25:18 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:26:03 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:26:48 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:27:33 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:28:18 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:29:03 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:29:48 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:30:33 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:31:18 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:32:03 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:32:48 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:33:33 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:34:18 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:35:03 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:35:48 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:36:33 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:37:18 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:38:03 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:38:48 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
Tue Dec 04 2018 19:39:33 GMT+0800 (Taipei Standard Time) GET /webserver/status.html
